Id,ProjectIdentifier,ProjectName,ApplicationDate,AmountGrantRequested,AmountGrantApproved,DateGrantApproved,AmountGrantPaid,DateGrantPaid,ProjectDescription,StatusCode_Id,StatusDescription,ProjOfficerRecommendation,TargetCompletionDate,Region_Id,District_Id,Keywords,Summary,ProjOfficer_Id,Problems,StatusCodeDate,StrengthsWeaknesses,FinanceOtherFunders,LocalContribution,WebSitePicture,WebSitePictureDescription,Latitude,Longitude,DocumentsUrl,PublicDocumentsUrl,ImpactOfProject,LastUpdated,TotalProjectCost,LastUpdatedBy
1241,441,"Serengeti Union Women Leadership Training","2015-04-16 00:00:00",1323,1323,"2015-05-12 00:00:00",1323,NULL,"support to allow 3 women from the Union in Serengeti to attend leadership training at CORAT Kenya in early May 2015 for three weeks then to train other women in the rural communities in Serengeti District. The grant will be paid to CORAT to allow 3 women to attend leadership training in Kenya where every women need $ 660. After training these 3 women will train other women in their Union to fight Gender based Violence and Female genital Mutilation in Serengeti District. After they will join hands together in the rural communities to train women in leadership skills in order to develop their own projects for the benefits of their children and families. The increased number of women with leadership skills in the rural villages will increase the confidence to many women demand for their rights. Women leaders in the groups will also be trained.",13,"This application came from Rhobi’s campaign programme against Gender-Based Violence and was an application to support 3 women attending a training course in Kenya. The total course fee is USD 1,320 for tuition, accommodation and board, but Mara Diocese has been given a reduction to $660 per person. TDTwas therefore  asked for $1,980 = £1,323. The Diocese paid for the women’s fares. We were  able to cover this from DAAT funds, with a minimal top-up from TDT. ","Make grant of £1,323.",NULL,5,21,NULL,""I would like to give special thanks to DAAT for agreeing to support 3 women to attend the training at Nairobi Corat, I say thank you very much. 
3 women came back after completed their training, were very motivated with this training.  They have come up with their action plan on how to use the skills gained to educate other people and women from the Union and in the villages.  Total number of 56 Union members attended the training in the safe house.  3 women and other 6 members are continuing to visit villages and train women groups on leadership skills and GBV issues starting with 10 villages.  To date 6 women groups in the 6 villages received the training. Total of 319 women were reached." Rhobi Samwelly 28 August 2015
",8,NULL,2016-02-28,NULL,NULL,"Mara diocese paid the women's transport costs",NULL,NULL,NULL,NULL,https://onedrive.live.com/?cid=F58F41920BFFDE6E&id=f58f41920bffde6e%212961,NULL,NULL,"2016-06-01 17:12:40",NULL,NULL
1242,ENQ,"ZZZ - Bidii Tanzania","2015-04-03 00:00:00",NULL,NULL,NULL,NULL,NULL,"We are supporters of local development initiatives in Tanzania. We are in Kasulu District- Kigoma region that is our head quarter office, but for now we have opened a new branch in Shinyanga Region.The desire and ability to contribute our knowledge and skills in rural development made us to establish the BENEVOLENT INSTITUTE FOR DEVELOPMENT INITIATIVES IN TANZANIA (BIDII- TANZANIA). Bidii- Tanzania was registered in August, 2004. Right now we have come across to understand that you are also dealing with local initiatives, mainly on socio- economic activities. Therefore, we are interested in forming working partnership with your Institution in order to fulfill the mission that we have together.",16,"Enquiry. Benedicto Hosea is unaware of the head office in Kasulu, but is willing to find out more. Have suggested that they look at our website and speak to William Shayo.",NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?cid=F58F41920BFFDE6E&id=f58f41920bffde6e%212962,NULL,NULL,NULL,NULL,NULL
1243,ENQ,"ZZZ - Manyoni Council Small Health Laboratory","2015-04-03 00:00:00",NULL,NULL,NULL,NULL,NULL,"Help to set up a small health laboratory. I have the honor to write to you for the aim of asking your support on the idea I have in my mind. My professional is Community Development officer at Manyoni District Council here in Tanzania. Me as a Community Development Officer, I have been working with rural community for different project. One thing which I have observed besically for the people health is that, People are treated in the rural areas without passing any diagnosis, as there is no any medical laboratory in the village. If a patient need to make a diagnosis she/ he will need to travel more than 50 to 100km to reach an area where he/she could get such a service. By that way I have come with this idea of establishing small health laboratory to assist these people to have such service.

By that way am requesting you to assist me in some of the equipment so that I could be able to help these people to establish these health laboratory within the rural areas.
",16,"responded telling them to look at website etc.",NULL,NULL,18,51,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?cid=F58F41920BFFDE6E&id=f58f41920bffde6e%212963,NULL,NULL,NULL,NULL,NULL
1244,ENQ,"ZZZ - TZ Farming Partnerships Initiatives","2015-04-06 00:00:00",NULL,NULL,NULL,NULL,NULL,"Enquiry about setting up a dairy goat project.",16,"Responded with some caution nut inviting application if they wanted.",NULL,NULL,4,5,"Goats, Livestock",NULL,NULL,NULL,2015-04-19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?cid=F58F41920BFFDE6E&id=f58f41920bffde6e%212964,NULL,NULL,NULL,NULL,NULL
1245,ENQ,"ZZZ - Christian Compassion Ministry","2015-04-08 00:00:00",NULL,NULL,NULL,NULL,NULL,"I would like to introduce my self to you, my name is Pastor Zedekia Henry Aimo, i am working with Christian Compassion Ministry as a Pastor in Rorya District, Mara Ragion. (Tanzania)
In the comminity i am living there is a problem of women walking long distance looking for milling machine to grain their cereals.Through walking around bushes while carrying their cereals on their head during late hours some women and girls are raped and some killed. 
During our meeting in our church, one of the Pastor from Diocese of Mara- Kabainja village told us that, they used with the same problem but it was solved by TDT
",16,"sent application form and suggested he speak to Rhobi.",NULL,NULL,5,59,NULL,NULL,NULL,NULL,2015-04-19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?cid=F58F41920BFFDE6E&id=f58f41920bffde6e%212965,NULL,NULL,NULL,NULL,NULL
1246,442,"WPDG Beekeeping project","2015-04-10 00:00:00",7600,NULL,NULL,NULL,NULL,"Setting up training and demonstration apiary.",17,"Rejected. JC visited and not impressed and application includes large amounts of plagarism.",NULL,NULL,9,41,Beekeeping,NULL,NULL,NULL,2015-04-19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?cid=F58F41920BFFDE6E&id=f58f41920bffde6e%212966,NULL,NULL,NULL,NULL,NULL
1247,443,"KARUDECA Microfinance HISA project","2015-04-10 00:00:00",3500,NULL,NULL,NULL,NULL,"In order to solve that problem KARUDECA as a local non governmental organisation initiated the HISA PROJECT, where the member contribute money and some of them takes them as loans where they refund with an interest of 5% per month. To them this is a financial institution because they can get loans and solve their problems including school fees; start up capital for small business and animal husbandry projects.
This project is needed because the money the group members contribute does not fulfil their needs. We therefore request an addition on our capital so that members can be able to have satisfactory loans to run their projects.
",17,"added to waiting list 19/4/15, sent email 1/5/15, met Steven in June 2015, Kevin visited in April and thought organisation good, suggested they apply for microfinance, could involve Wabia??","They have had funding from Wabia, who visited in Jan 16.  Will follow up for their opinion but don't recommend we fund them. ",NULL,4,5,Microfinance,NULL,10,NULL,2015-04-19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?cid=F58F41920BFFDE6E&id=f58f41920bffde6e%212967,NULL,NULL,"2016-01-31 13:53:15",NULL,NULL
1248,ENQ,"ZZZ - Neema Health Centre, Mwanga","2015-04-14 00:00:00",NULL,NULL,NULL,NULL,NULL,"Enquiry about eligibility to apply for grant for this Health Centre in Kilimanjaro Region. THey need help with back-up solar panels and water.",16,"Replied saying will not fund projects in Kili REgion",NULL,NULL,15,60,"Health, Solar, Water",NULL,NULL,NULL,2015-05-03,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?cid=F58F41920BFFDE6E&id=f58f41920bffde6e%212968,NULL,NULL,NULL,NULL,NULL
1249,ENQ,"ZZZ - Livingstone Tanzania Trust","2015-04-28 00:00:00",NULL,NULL,NULL,NULL,NULL,"Enquiry about whether we would consider an application for an edible gardens project in Babati, Manyara Region.  The aim of the project is to reduce pressure on the family purse by reducing expenditure on food and creating an income through sales of excess produce. All methods are sustainable/organic and natural. The project includes some workshops on understanding the link between diet and well-being. ",16,NULL,NULL,NULL,29,NULL,Agriculture,NULL,NULL,NULL,2015-05-03,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?cid=F58F41920BFFDE6E&id=f58f41920bffde6e%212969,NULL,NULL,NULL,NULL,NULL
1250,444,"Storage facility in Zeze","2015-05-03 00:00:00",940,866,"2015-05-12 00:00:00",866,"2015-06-08 00:00:00",NULL,13,"Grant paid","Grant paid","2015-10-18 00:00:00",3,12,"agriculture, storage, crops, ","Benedicto, our extremely committed local representative for Kigoma rural, has set up a youth group MVG, which has been very successful in developing agriculture in Zeze village.  This storage facility will enable the village to store and process cash crops such as sunflowers and moringa olifeara. ",10,"PG visited the site of the storage facility in Zeze, 28/09 and no building has yet been started. 
JC - there were delays in obtaining the land, foundations now complete and walls under construction 15/11/15",2015-05-03,NULL,NULL,"MVG group are providing all bricks and labour. ",NULL,NULL,NULL,NULL,https://onedrive.live.com/?id=F58F41920BFFDE6E%214044&cid=F58F41920BFFDE6E&group=0,,NULL,"2019-11-24 13:55:39",940.0000,NULL
1251,ENQ,"ZZZ - JACODE, Maswa","2015-04-28 00:00:00",NULL,NULL,NULL,NULL,NULL,"JEMA ACTION FOR COMMUNITY DEVELOPMENT (JACODE)  is N GO  working in maswa district.Currently  JEMA  provide awareness and prevention of HIV/AIDS to youth and the society at large in collaboration with Maswa District Community development office.
JACODE prefer to work in terms  of partnership with TDT  UK  for purpose of improving societal  well- being in MASWA.
JACODE   became aware  with the work done by TDT in  Maswa through
other organization include BLEMA  and KASODEFO.
",16,"Pointed them to the website",NULL,NULL,9,13,HIV,NULL,NULL,NULL,2015-05-03,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?cid=F58F41920BFFDE6E&id=f58f41920bffde6e%212970,NULL,NULL,NULL,NULL,NULL
1252,ENQ,"ZZZ - MAUWAKI, Maswa","2015-04-28 00:00:00",NULL,NULL,NULL,NULL,NULL,"Umoja wa wanawake wa kiislamu ( MAUWAKI)  is Non Governmental Organization registered  to operate Tanzania Mainland. The organization registered since 2005  with the registration  no.18 N GO/ 0551.

MAUWAKI is hear by requesting partnership  with TDT UK  so  as  to be empowered  financially and materially enabling  us to  implement successfully   social  related activities in maswa district as per organizational goals. The organization has successfully implemented  several social activities which have proved  positive changes to the targeted groups.Recently  MAUWAKI  is implementing   Education Quality Improvement Programme ( EQUIP) on the community participation in improving the quality of Education in Maswa District.

The organization come across with TDT  through  KASODEFO and BLEMA (BIO) in Maswa  District , Simiyu Region.
",16,"Referred them to the website",NULL,NULL,9,13,NULL,NULL,NULL,NULL,2015-05-03,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?cid=F58F41920BFFDE6E&id=f58f41920bffde6e%212971,NULL,NULL,NULL,NULL,NULL
1253,445,"Rondo Seminary Students with Bees","2015-04-28 00:00:00",4200,NULL,NULL,NULL,NULL,"The grant will be used to purchase the equipments for bee keeping projects as well as training so as to make sure that the intended objective of enabling community to access the bee products are reaching. By having these materials will be a basic step of improving the people’s life as the matter of fact that this projects at the end of the day will be very beneficial to the majority from bee products.The project intend to meet 50 direct beneficiaries whereby 25 will be children from secondary schools and 25 will be community members of which 15 will be women and 10 will be men, also 15 will be girls and 10 will be boys.",17,"Rejected 31/5/15 because of the moratorium on new beekeeping projects.",NULL,NULL,10,NULL,Beekeeping,NULL,NULL,NULL,2015-05-31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?cid=F58F41920BFFDE6E&id=f58f41920bffde6e%212972,NULL,NULL,"2015-05-31 06:39:16",NULL,NULL
1254,"VSO 5011","VSO Bukoba Bill Project. Quality Teaching Facilitators, training and up skilling teachers in child centred methodologies in 24 schools","2015-05-27 00:00:00",450,450,"2015-05-28 00:00:00",450,NULL,NULL,13,"To train and mentor 24 teachers in participatory methodologies, how to make resources to aid their teaching . Basic resources such as posters and card and markers to make resources. There is a need to supply the teachers with basic teaching aids, if we don’t it’s like teaching someone how to fish and then sending them fishing without a rod. 1,200,000 Tsh all to be spent on stationary. Card packs, Large card, plastic sheets, rice sacks, markers, scissors, glue, fastening pins, nails, sponge.",Fund,"2015-08-28 00:00:00",4,6,"Education. Kagera.. VSO Teacher Training BILL projec","TRAINING TEACHERS IN CHILD CENTRED METHODS. VSO volunteer Claire received a small grant of £400 to support  teachers in making resources to aid their teaching and to support them in cascading this knowledge to their colleagues in workshops. The workshops will be completed during August and a report is expected after this completion. 

The photos show teachers attending workshops for the VSO BILL project.

 ",3,NULL,2016-06-20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?cid=F58F41920BFFDE6E&id=f58f41920bffde6e%213065,,NULL,"2016-06-20 17:53:37",NULL,JonathanPace
1255,ENQ,"ZZZ - Kinangali Secondary School Girl's Dormitory","2015-05-04 00:00:00",22000,NULL,NULL,NULL,NULL,NULL,16,"Suggested they submit an application, but warned of the difficulty of funding girl's dormitories.",NULL,NULL,18,51,"Secondary School, Hostel, Dormitory",NULL,NULL,NULL,2015-05-31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?cid=F58F41920BFFDE6E&id=f58f41920bffde6e%213085,,NULL,"2015-05-31 10:09:27",NULL,DanCook
1256,446,"Kanyimbi Village Youth Garden Project","2015-05-06 00:00:00",4000,1323,"2015-11-25 00:00:00",1323,"2015-12-30 00:00:00","A grant  has been requested so that the Kanyimbi youth gardening group can purchase water pumps, pipes, other equipment, seeds, fertilisers, insecticide and a training opportunity.  The object is to increase vegetable production as a means of increasing the incomes of 16 young women and 14 young men 

",13,"Kevin Curley, who visited Kanyimbi village twice in 2014 and 2015 with Linus Buriani,  has written to the Village Executive Officer requesting the phone number of Joram Chilungo the Village Youth Chairman who made the application (16 June 2015).  I have asked about secure storage of equipment, allocation of land for the garden, sale of vegetables and location and content of the training.  Training costs seem high.  Kevin has discussed these questions with Linus Buriani. 5 acres of land have been allocated to the group by the village.  A secure village store is available where a watchman is employed at night. Transport is available every day from the village to Masasi town where vegetables can be sold. After discussion with LInus we decided that training should be delivered in the village.  This reduces the training cost.  There will be a 3 day programme covering entrepreneurship (one day) and vegetable gardening (one day theory and one day practical). PG 14/06/17  See Strengths and Weaknesses below.  Having had no response from Linus, Godfrey Makenzie visited the group,by bodaboda.  He found the group garden was functioning and was told the pumps were in working order.  However being wet season he did not see them working.  They were growing rice and after harvest they would return to vegetable growing.  I consider from Godfrey's report that TDT can say this project is now complete.","Having visited the youth gardening group twice I am convinced of the merits of this application, which is strongly supported by Linus.  The cost of equipment, seeds and other inputs is 8,700,000 (£2,806 using an exchange rate of 3,100 to 1 pound). If we supported only 3 water pumps instead of 6 the cost would be reduced to 6,450,000 (£2,081).  The reduced training cost would be 1,215,000 (£392).  I therefore recommend a grant of £2,473 of which £392 would be for training.  If funds are not available to support this recommendation, a reduction in support for seeds and other inputs would produce a further saving of 1,500,000 (£483).","2017-05-15 00:00:00",8,17,"Youth, income generation, vegetables, irrigation.","A grant of 11,775,000 has been requested so that the youth gardening group can purchase water pumps, pipes, other equipment, seeds, fertilisers, insecticide and a training opportunity.  The object is to increase vegetable production as a means of increasing the incomes of 16 young women and 14 young men.  PG 10/05/16  A report at last from Linus.  Training has been carried out and youths are now gardening on their plot.  Still want to receive confirmation of how many pumps were purchased and how effective they are.
13 June 2016 PG  Kanyimbi Village Youth Garden Project (WABUKA) was awarded a grant of £1323 for training and equipment to improve vegetable growing in the community.  The purchase of three water pumps, knapsack sprayers,vegetable gardening equipment, seeds, fertilizer and protective clothing was approved by TDT late last year.  Since then the group has purchased all the equipment, and received both classroom and practical training, in garden and pest and disease management.  Reports from our LR Linus Buriani indicates more than 20 members attended the training, and they are now using their new skills to produce more vegetables.  They are also starting to use their new water pumps as the dry season starts to make watering the large area more difficult.",1015,NULL,2016-06-14,"The main weakness I foresee concerns maintenance of the water pumps. Chinese made pumps will requite regular maintenance and occasional repair.  Spare parts are available but will group members put aside money for this purpose.  If we support the scheme I will ask Linus to discuss the questions of routine maintenance and saving for spare parts with group leaders.  Kevin will visit the group in January or February 2016.
PG 25/04/16 No contact with group whatsoever.  Every communication is through Linus.  He is also not responding to my requests for an update on progress.  He promises to do so but then nothing.  PG May '16. After much chasing, a report from Linus with photos saying the group have purchased equipment and had training .","The request is for equipment (5,550,000), seeds (1,440,000), fertilisers and insecticide (1,710,000) and training (3,075,000).","The application (written by Linus Buriani) values the local contribution at 2,150,000.  This is monetised volunteer labour on clearing the site for the garden and other manual work.",...,"Kanyimbi youth gardeners ",10.733000000000,38.983000000000,https://onedrive.live.com/redir?resid=f58f41920bffde6e!3088&authkey=!AO_7HxmciE-2tmg&ithint=folder%2ctxt,,".  Training has been carried out and youths are now gardening on their plot.  The purchase of three water pumps, knapsack sprayers,vegetable gardening equipment, seeds, fertilizer and protective clothing was approved by TDT late last year. Since then the group has purchased all the equipment, and received both classroom and practical training, in garden and pest and disease management. Reports from our LR Linus Buriani indicates more than 20 members attended the training, and they are now using their new skills to produce more vegetables. They are also starting to use their new water pumps as the dry season starts to make watering the large area more difficult.","2017-06-14 06:57:17",1323.0000,DanCook
1257,ENQ,"ZZZ - Future for Marginalized Community","2015-05-06 00:00:00",NULL,NULL,NULL,NULL,NULL,NULL,16,"Told them we would not fund due to being in Mwanza.",NULL,NULL,25,NULL,Poultry,"Poultry project",NULL,NULL,2015-05-31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?cid=F58F41920BFFDE6E&id=f58f41920bffde6e%213094,,NULL,"2015-05-31 13:58:12",NULL,DanCook
1258,447,"Miungu Village Water Extension to Chipinpimbi","2015-05-07 00:00:00",2900,2900,"2015-08-13 00:00:00",NULL,NULL,"This project is to extend the Miungo Village Water project to allow water to be piped to the nearby neighbourhood of Chipindimbi.",13,"Added to waiting list 31/5/15. Sent email to J Pace (project officer on the original project) to get his initial feedback. Possibility of funding by Africa Palms. JP making enquiries 1/07/15. Email in documents.  Grant of £2,900 made by African Palms. JDM notified project and Linus Buriani on behalf of JP.        
31/08/15.  Contract and bank confirmations received by JP in Dar. To be checked and processed shortly",NULL,NULL,8,17,Water,"Mtwara Region.   Chipinpimbi pipeline extension from Miungu.
Following the completion of the Miungu pipeline, reported last year, the excellent Village Executive Officer, Godfrey Makenzie, applied for a grant to extend the pipeline to the nearby hamlet of Chipinpimbi.  A generous grant from Africa Palms trust of £2,900 with a very positive contribution from local council and district funds enabled the pipeline to be installed and is providing fresh water to this small hamlet, saving the lives of small babies and providing the village community with healthy clean water.  We thank Africa Palms for their continued support for our projects in the Mtwara region.
( Elizabeth - a photo is available of the lady with the new tap in documents) 
",3,NULL,2016-06-22,NULL,"£2,900 from African Palms",NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/redir?resid=f58f41920bffde6e!3096&authkey=!AAmbLKdQcWcMgos&ithint=folder%2cjpg,,NULL,"2016-06-24 21:02:39",NULL,DanCook
1259,448,"Ng'wigwa Secondary School books","2014-05-08 00:00:00",3000,NULL,NULL,NULL,NULL,"Project to purchase shcool books for Mg'wigwa Secondary School in Maswa, Simyu Region.",17,"Rejected for this application but supported with a RPI in technology project, going well ","Planned to visit Dec16 but EK not available. EK to get contact of headteacher and maths teacher and investigate whether to supply a RPI from technology project as starting point. ",NULL,9,13,"Secondary School, Textbooks, Technology","Investigating specific needswith school directly rather than NGO who requested funds.",10,NULL,2015-05-31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/redir?resid=f58f41920bffde6e!3103&authkey=!AEGiRAE1sZTB7Bs&ithint=folder%2cpdf,,NULL,"2017-03-20 17:11:26",NULL,DanCook
1260,450,"OSNET Entrepreneurship Training at Musoma Secondary School","2015-05-12 00:00:00",2700,650,"2017-02-22 00:00:00",NULL,NULL,"The main part of the funding for this project is to provide materials for soap making for a group of disabled students at Musoma Technical High School. The students are currently learning the skills they will need, but plan to eventually produce sufficient soap to sell. Thus, as well as learning about the technical side of soap making, they are also becoming more self sufficient and entrepreneurial. A further grant has been provided to for a tricycle that is enabling a disabled student to move around the school and access his lessons.",9,"Added to waiting list 31May15.  JP 12 April 2016.  This is being considered for possible funding by the Cycle Challenge.  Enquiries being made via Rhobi and Jill Nicholson to Cycle Charity.
Allocated to Ian Powell in November 2016. Inquiries indicated that Cycle Challenge unlikely to be a funder. 
A recommendation to come to February 2017 meeting for TDT to fund.","This is an application from the Organisation of Special Needs Education Teachers (OSNET) to provide funding for a soap making project in Musoma Technical Secondary School. There is also a second request to provide funding for a wheel chair for one of the students.
This is a good application which I think TDT should fund if possible. The project will provide appropriate, educational and useful occupation for a group of disabled students and has the potential to generate an income. OSNET have received advice from SIDO about setting up the project and can bring them in for advice if they have technical problems. Both Rhobi and Janet have visited and confirm OSNET are a well run organisation and would support the application.
However the application is for quite a large amount of materials. Given that this is a completely new project, my recommendation is that we only provide funds for a small scale start up project so they can find out if the whole process is viable. I therefore recommend that we provide £500 at this point. That would be within the range of of other grants for the start up costs of soap making projects.
The other part of the application would provide a wheelchair to a disabled student that would enable him to get around the school to a much greater extent that he can now.  (The application for the costs of the wheelchair is for £150 but the project's priority is for the costs of the soap making)",NULL,5,27,"Entrepreneurship, Disability",NULL,11,NULL,2017-09-12,NULL,NULL,NULL,...,"Students learning to make soap",NULL,NULL,https://onedrive.live.com/?cid=F58F41920BFFDE6E&id=f58f41920bffde6e%213111,,NULL,"2017-09-12 09:16:40",NULL,DanCook
1261,ENQ,"ZZZ - Community Development Initiative Tanzania","2015-05-14 00:00:00",NULL,NULL,NULL,NULL,NULL,NULL,16,NULL,NULL,NULL,4,5,NULL,NULL,NULL,NULL,2015-05-31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?cid=F58F41920BFFDE6E&id=f58f41920bffde6e%213120,,NULL,"2015-05-31 14:27:49",NULL,DanCook
1262,452,"Pig Production Ibinzamata","2015-05-15 00:00:00",1200,NULL,NULL,NULL,NULL,NULL,17,"Added to waiting list 31May15 and sent email to William Shayo for his initial reaction to the application.","Not to be considered as William Shayo discovered this to be a fraudulent application. ",NULL,1,19,"Livestock, Pigs","WS took the letter of recommendation to the district office.  Not only was the signature forged, but the official stamp was not correct, and no file  as per the ref. on the letter existed.
PG made contact by phone with the applicant, and once she knew I wanted to visit, her phone number became unavailable.  WS and PG did discussed the possibility that this could have been the same person as with the kuku project in Mwigumbi Village ref.395?  There were some similarities.",1015,"Bogus application!",2015-10-18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/redir?resid=f58f41920bffde6e!3122&authkey=!AIk4ltolbgxKV3g&ithint=folder%2cpdf,,NULL,"2016-03-04 12:27:26",NULL,DanCook
1263,ENQ,"ZZZ - Foundation for Cancer Care in Tanzania","2015-05-16 00:00:00",NULL,NULL,NULL,NULL,NULL,NULL,16,NULL,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,2015-05-31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?cid=F58F41920BFFDE6E&id=f58f41920bffde6e%213130,,NULL,"2015-05-31 14:38:07",NULL,DanCook
1264,ENQ,"ZZZ - Mwanza Children's Network","2015-05-17 00:00:00",NULL,NULL,NULL,NULL,NULL,NULL,16,"No because Mwanza",NULL,NULL,25,NULL,NULL,NULL,NULL,NULL,2015-05-31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?cid=F58F41920BFFDE6E&id=f58f41920bffde6e%213132,,NULL,"2015-05-31 14:42:19",NULL,DanCook
1265,453,"Kelema Village Sewing and Tailoring","2015-05-19 00:00:00",1700,NULL,NULL,NULL,NULL,NULL,17,"Added to waiting list 31/5/15. Did warn them about lack of Dodoma rep.","I spent the best part of a day in March 2016  in the 4 villages called Kelema, about 80k from Dodoma on the main road to Kondoa (Kelema Kuu, Kelema Mashiriki, Kelema Maziwani and Kelema Balai). I was unable to contact Kalebu Ismail (M/kiti) by phone although I had email contact with him from the UK. Village leaders and wazee and district community development staff had never heard of him or FAPORUG or any of the other 4 members whose names I had. They warned me that the group may be a fake. The mtendaji was very helpful: Idi Ng'oka 0683 622210. So was the Chemba district community development officer Mika Mbise 0688 505070 mmbise16@gmail.com As I was unable to make contact with this group when I went to Kelema and village leaders had not heard of it or its leaders I recommend rejection.",NULL,6,61,Tailoring,"Kevin writes after his visit to Kelema in March 2016: I spent the best part of a day in the 4 villages called Kelema, about 80k from Dodoma on the main road to Kondoa (Kelema Kuu, Kelema Mashiriki, Kelema Maziwani and Kelema Balai).  I was unable to contact Kalebu Ismail (M/kiti) by phone although I had email contact with him from the UK.  

Village leaders and wazee and district community development staff had never heard of him or FAPORUG or any of the other 4 members whose names I had.  They warned me that the group may be a fake. The mtendaji was very helpful: Idi Ng'oka 0683 622210.  So was the Chemba district community development officer Mika Mbise 0688 505070 mmbise16@gmail.com

At this stage I will leave the application at 02 status.  Is anyone going to Dodoma or Kondoa before January 2017?

",5,"BEWARE.  This group may be a fake.",2017-05-12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/redir?resid=f58f41920bffde6e!3134&authkey=!ALKXbQCvZ51tkuA&ithint=folder%2cjpg,,NULL,"2017-05-12 11:45:16",NULL,DanCook
1266,454,"Serengeti Crop Survival Project","2015-05-29 00:00:00",1750,NULL,NULL,NULL,NULL,NULL,17,"Added to waiting list 31May15. 
Allocated to PG Dec. 15
PG Rejected project as no replies to emails and also warning from Julian that he and Rhobi had visited this group previously and could not recommend them.","Rejected as no response after 5 weeks to my emails introducing myself as PO",NULL,5,21,"Milling machines, conservation human/elephant mitigation","Villages on edge of Serengeti want 2 milling machines to generate income to be able to prchase materials to use against invading elephants.  They have received funding in past amounting to $9000 US.  Evidence shows this was used effectively.",1015,NULL,2016-03-04,"Chairman of group resides in Dar es Salaam.",NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?id=F58F41920BFFDE6E%213143&cid=F58F41920BFFDE6E&group=0,,NULL,"2016-03-04 12:34:23",NULL,DanCook
