Id,Project_Id,DocName,FilePath,Description,DocCategory
465,52,STUDENT2.jpg,"~/CMS/Docs/52/General Correspondence/STUDENT2.jpg","Second Student letter of thanks","General Correspondence"
466,52,"20120318 THANKS TO HCF.txt","~/CMS/Docs/52/General Correspondence/20120318 THANKS TO HCF.txt","2012-03-18 Headteacher's letter of receipt of money and thanks to Hilden","General Correspondence"
467,52,"Ikimba  Izimbya School  Visit Report Oct13.docx","~/CMS/Docs/52/Visit Report/Ikimba  Izimbya School  Visit Report Oct13.docx","Cook-Pace Visit Report, October 2013","Visit Report"
468,52,"Receipt for 2012 grant.jpg","~/CMS/Docs/52/Visit Report/Receipt for 2012 grant.jpg","Bank Statement for 2012 grant","Visit Report"
469,52,"Marcus Visit Report Jan 2013.docx","~/CMS/Docs/52/Visit Report/Marcus Visit Report Jan 2013.docx","Bank Statement for 2012 grant","Visit Report"
470,53,applicationformNov2011.doc,"~/CMS/Docs/53/Application Form/applicationformNov2011.doc","Application Form","Application Form"
471,53,"Kibirizi Year 1 report.jpg","~/CMS/Docs/53/Project Report/Kibirizi Year 1 report.jpg","Phase 1 completion report","Project Report"
472,53,"Marcus Visit Report Jan 2013.docx","~/CMS/Docs/53/Visit Report/Marcus Visit Report Jan 2013.docx","Marcus Visit Report Jan 2013","Visit Report"
473,53,"Ikimba  Kibirizi School  Visit Report Oct13.docx","~/CMS/Docs/53/Visit Report/Ikimba  Kibirizi School  Visit Report Oct13.docx","Pace-Cook Visit report October 2013","Visit Report"
474,53,"scaning 1 001.jpg","~/CMS/Docs/53/Documents supporting Application form/scaning 1 001.jpg","DEO Support letter","Documents supporting Application form"
475,53,"KIBIRIZI 1 001.jpg","~/CMS/Docs/53/Documents supporting Application form/KIBIRIZI 1 001.jpg",Map,"Documents supporting Application form"
476,53,"20120312 Mgaya thanks for grants to Kibirizi.txt","~/CMS/Docs/53/Documents supporting Application form/20120312 Mgaya thanks for grants to Kibirizi.txt","2012-03-12 Mgaya email giving thanks for grant","Documents supporting Application form"
477,53,"20120505 Karwihula on receipt og books at Kibirizi.txt","~/CMS/Docs/53/Documents supporting Application form/20120505 Karwihula on receipt og books at Kibirizi.txt","2012-05-05 Karwihula on receipt of books etc by school","Documents supporting Application form"
478,53,"20120710 Suasan Mitchell on Kibirizi Library.txt","~/CMS/Docs/53/Documents supporting Application form/20120710 Suasan Mitchell on Kibirizi Library.txt","2012-07-10 Susan Mitchell on use of books etc","Documents supporting Application form"
479,53,"20131017 Pace re Library and Football pitch.txt","~/CMS/Docs/53/Documents supporting Application form/20131017 Pace re Library and Football pitch.txt","2013-10-17 J Pace on Library and Football pitch","Documents supporting Application form"
480,54,"TDT Rubale RESULTS.xlsx","~/CMS/Docs/54/Project Report/TDT Rubale RESULTS.xlsx","Exam results","Project Report"
482,54,"TDT REPORT.jpg","~/CMS/Docs/54/Contract/TDT REPORT.jpg","Project Contract",Contract
483,54,"Ikimba  Rubale School  Visit Report Oct13.docx","~/CMS/Docs/54/Visit Report/Ikimba  Rubale School  Visit Report Oct13.docx","Pace-Cook Visit report","Visit Report"
484,54,"20130720 Introduction letter from new Headteacher.txt","~/CMS/Docs/54/Visit Report/20130720 Introduction letter from new Headteacher.txt","2013-07-20 Introduction letter from new Headteacher","Visit Report"
485,54,"20130810 Headteacher sending THANKS.txt","~/CMS/Docs/54/Visit Report/20130810 Headteacher sending THANKS.txt","2013-08-10 Headteacher sending thanks for grant","Visit Report"
486,54,"20131016 Pace re pictures.txt","~/CMS/Docs/54/Visit Report/20131016 Pace re pictures.txt","2013-10-16 J Pace sending thanks for photos","Visit Report"
487,54,IMG0005.JPG,"~/CMS/Docs/54/Visit Report/IMG0005.JPG","Photo of pupils with books, sports gear etc","Visit Report"
488,54,IMG0001.JPG,"~/CMS/Docs/54/Visit Report/IMG0001.JPG","Photo of books stored on shelves","Visit Report"
489,55,REPORT.1.jpg,"~/CMS/Docs/55/Project Report/REPORT.1.jpg","End of Phase 1 Report part 1","Project Report"
490,55,REPORT.2.jpg,"~/CMS/Docs/55/Project Report/REPORT.2.jpg","End of Phase 1 Report part 2","Project Report"
491,55,"Marcus Visit Report Jan 2013.docx","~/CMS/Docs/55/Visit Report/Marcus Visit Report Jan 2013.docx","Marcus Visit Report Jan 2013","Visit Report"
492,55,"Ikimba  Tunamkumbuka School  Visit Report Oct13 V2.docx","~/CMS/Docs/55/Visit Report/Ikimba  Tunamkumbuka School  Visit Report Oct13 V2.docx","Cook-Pace Visit Report Oct 2013","Visit Report"
493,55,003.jpg,"~/CMS/Docs/55/Visit Report/003.jpg","Late Headteacher's letter of thanks to Hilden","Visit Report"
494,55,"20130802 Kasaaju on receipt of money.txt","~/CMS/Docs/55/Visit Report/20130802 Kasaaju on receipt of money.txt","2013-08-02 Kasaaju on receipt of money","Visit Report"
495,55,"20130824  Kassaju on help from Kibeta.txt","~/CMS/Docs/55/Visit Report/20130824  Kassaju on help from Kibeta.txt","2013-08-24 Kasaaju on help from Kibeta Secondary","Visit Report"
496,55,"20130920 Marcus condolences on death of Headteacher.txt","~/CMS/Docs/55/Visit Report/20130920 Marcus condolences on death of Headteacher.txt","2013-09-20 Marcus condolences on death of Headteacher","Visit Report"
497,55,"20131014 Kasaaju on new library.txt","~/CMS/Docs/55/Visit Report/20131014 Kasaaju on new library.txt","2013-10-14 Kasaaju on new Library","Visit Report"
498,55,"20131209 Email exchange on completion of library.txt","~/CMS/Docs/55/Visit Report/20131209 Email exchange on completion of library.txt","2013-12-09 Email exchange on completion of Library","Visit Report"
499,55,"20131216 Kasaaju on new Headteacher.txt","~/CMS/Docs/55/Visit Report/20131216 Kasaaju on new Headteacher.txt","2013-12-16 Kasaaju announcing new Headteacher","Visit Report"
500,55,"RMK PHOTOS 104.JPG","~/CMS/Docs/55/Visit Report/RMK PHOTOS 104.JPG","Photo: Jonathan Pace opening new Library","Visit Report"
501,56,"20111219 Karwihula on General description of area as background to application for schools.txt","~/CMS/Docs/56/Project Report/20111219 Karwihula on General description of area as background to application for schools.txt","2011-12-19 Josiah Karwihula description of area","Project Report"
502,56,"20120101 HCF Cover letter JDM 01 Jan 2012.docx","~/CMS/Docs/56/Project Report/20120101 HCF Cover letter JDM 01 Jan 2012.docx","2012-01-01 Cover letter to 2012 HCF application ","Project Report"
503,56,"20120113 HILDEN KAGERA AND KIGOMA bid 2012 ap.pdf","~/CMS/Docs/56/Project Report/20120113 HILDEN KAGERA AND KIGOMA bid 2012 ap.pdf","2012-01-13  2012 HCF application ","Project Report"
504,56,"20120303 201011 results for first three schools.xlsx","~/CMS/Docs/56/Project Report/20120303 201011 results for first three schools.xlsx","2012-03-03 2010-11 results for first three schools ","Project Report"
505,56,"20120320 Outset report 2b.pdf","~/CMS/Docs/56/Project Report/20120320 Outset report 2b.pdf","2012-03-20 Outset report for first three schools ","Project Report"
506,56,"20120512 Susan Mitchell Report.doc","~/CMS/Docs/56/Project Report/20120512 Susan Mitchell Report.doc","2012-05-12 Susan Mitchell VSO report","Project Report"
507,56,"20120216 Hilden Grant letter.doc","~/CMS/Docs/56/Project Report/20120216 Hilden Grant letter.doc","2012-02-16 Hilden grant letter","Project Report"
508,56,"20130323 TDT Ikimba Gp application 2013.pdf","~/CMS/Docs/56/Project Report/20130323 TDT Ikimba Gp application 2013.pdf","2013-03-23 Ikimba Group HCF application 2013","Project Report"
509,56,"20130325 HCF Cover letter 2013 b.docx","~/CMS/Docs/56/Project Report/20130325 HCF Cover letter 2013 b.docx","2013-03-25 Ikimba Group HCF application cover letter 2013","Project Report"
510,56,"20130408 2012 SCHOOLS RESULTS with graphs.xlsx","~/CMS/Docs/56/Project Report/20130408 2012 SCHOOLS RESULTS with graphs.xlsx","2013-04-08 2012 Schools results with graphs","Project Report"
511,56,"20130429 Mnubi to Pace on NV Kailembo.txt","~/CMS/Docs/56/General Correspondence/20130429 Mnubi to Pace on NV Kailembo.txt","2013-04-29 Mnubi to Pace on Kailembo NV","General Correspondence"
512,56,"20130610 Sports survey for Ikimba cluster schools.docx","~/CMS/Docs/56/General Correspondence/20130610 Sports survey for Ikimba cluster schools.docx","2013-06-10 Sports Survey results","General Correspondence"
513,56,"20130611 Enrolment and running costs.docx","~/CMS/Docs/56/Project Report/20130611 Enrolment and running costs.docx","2013-06-11 Enrollment and running costs","Project Report"
514,56,"20130618 IKIMBA GROUP OF SCHOOLS ENROLMENT IN FORMS 2 and 4.docx","~/CMS/Docs/56/Project Report/20130618 IKIMBA GROUP OF SCHOOLS ENROLMENT IN FORMS 2 and 4.docx","2013-06-18 Enrollment in years 2 and 4","Project Report"
515,56,"20130716 Marcus to schools on Phase 2 Grant.txt","~/CMS/Docs/56/General Correspondence/20130716 Marcus to schools on Phase 2 Grant.txt","2013-07-16 Marcus to schools on Phase 2 Grant","General Correspondence"
516,56,"20130918 MR  KAILEMBO CV.doc","~/CMS/Docs/56/General Correspondence/20130918 MR  KAILEMBO CV.doc","2013-09-18 Mr Kailembo CV","General Correspondence"
517,56,"20131110 Ikimba VSO National Volunteer.doc","~/CMS/Docs/56/General Correspondence/20131110 Ikimba VSO National Volunteer.doc","2013-11-10 Ikimba VSO National Volunteer","General Correspondence"
518,56,"20131114 Marcus to all schools re 2nd stage payment phase 2 and planning for Phase 3.txt","~/CMS/Docs/56/General Correspondence/20131114 Marcus to all schools re 2nd stage payment phase 2 and planning for Phase 3.txt","2013-11-14 Marcus to schools re Phase 2 stage 2 payments","General Correspondence"
519,56,"20131204 Pace to Christopher Mnubi re visit made in October.txt","~/CMS/Docs/56/General Correspondence/20131204 Pace to Christopher Mnubi re visit made in October.txt","2013-12-04 Pace to Christopher Mnubi re visit","General Correspondence"
520,56,"20140106 Pace on Kailembo NV work in group.txt","~/CMS/Docs/56/General Correspondence/20140106 Pace on Kailembo NV work in group.txt","2014-01-06 Pace on Kailembo NV's work","General Correspondence"
521,33,"response to first questions from Linus Buriani.docx","~/CMS/Docs/33/General Correspondence/response to first questions from Linus Buriani.docx","Linus Buriani first response to questions sent by Project officer  explaining that this tank is in fact a second underground tank in addition to one sponsored by the Friends of Masasi which was previously not mentioned","General Correspondence"
523,1,"Email exchange reDelay of Opening Maganzo VTC and grant from Ruth Edwards.txt","~/CMS/Docs/1/General Correspondence/Email exchange reDelay of Opening Maganzo VTC and grant from Ruth Edwards.txt","2014-01-10 Email exchange re delay in opening and donation from Ruth Edwards","General Correspondence"
524,19,"Revised Application Form.doc","~/CMS/Docs/19/Application Form/Revised Application Form.doc","Revised Application Form","Application Form"
525,19,"Correspondence between original and revised Application.htm","~/CMS/Docs/19/General Correspondence/Correspondence between original and revised Application.htm","Correspondence between original application and revised application","General Correspondence"
526,57,"LINDI PROJECT PROPOSAL OF SOCIALECONOMIC DEVELOPMENT.docx","~/CMS/Docs/57/Documents supporting Application form/LINDI PROJECT PROPOSAL OF SOCIALECONOMIC DEVELOPMENT.docx","Project proposal doc, not on TDT Application form","Documents supporting Application form"
527,57,"Project Proposal.htm","~/CMS/Docs/57/General Correspondence/Project Proposal.htm","Response to their enquiry","General Correspondence"
528,58,"OPEN II.doc","~/CMS/Docs/58/General Correspondence/OPEN II.doc","Original enquiry","General Correspondence"
529,58,"Your enquiry to TDT.htm","~/CMS/Docs/58/General Correspondence/Your enquiry to TDT.htm","Response to Original enquiry","General Correspondence"
530,59,ACRO.htm,"~/CMS/Docs/59/General Correspondence/ACRO.htm","Initial correspondence","General Correspondence"
531,61,"C276 PO Report.docx","~/CMS/Docs/61/Project Report/C276 PO Report.docx","Chandrika's PO Report","Project Report"
532,61,"YAAPA Kibirizi tailoring report Oct 2013 Final.pdf","~/CMS/Docs/61/Visit Report/YAAPA Kibirizi tailoring report Oct 2013 Final.pdf","David Ackland, Jonathan Pace and Dan Cook visit October 13","Visit Report"
533,33,"final confirmation from Friends of Masasi they did not fund a second tank because they had run out of money and as a Dr see more wter as only a good thing.doc","~/CMS/Docs/33/Documents supporting Application form/final confirmation from Friends of Masasi they did not fund a second tank because they had run out of money and as a Dr see more wter as only a good thing.doc","final confirmation from Friends of Masasi that they did not fund a second tank for purely financial reason and Dr Jaap Hardeman sees more water as only a good thing","Documents supporting Application form"
534,33,"receipt 0011 from local trader for parts dated 01012014.jpg","~/CMS/Docs/33/Documents supporting Application form/receipt 0011 from local trader for parts dated 01012014.jpg","Final invoice to confirm costs of various parts of the budget from a trader","Documents supporting Application form"
535,33,"response to second set of questions comparing Friends of Masasi budget with that sent by this application.doc","~/CMS/Docs/33/Documents supporting Application form/response to second set of questions comparing Friends of Masasi budget with that sent by this application.doc","Final response from Linus Buriani to confirm that differences oin cost when comparing the Friends of Masasi invoice for their tank to this application, largely because this is a bigger tank","Documents supporting Application form"
536,41,"20130113 Marcus Visit report.docx","~/CMS/Docs/41/Visit Report/20130113 Marcus Visit report.docx","2013 Marcus Visit report","Visit Report"
537,41,"MATONGO DISPENSARY  STAFF HOUSE CONSTRUCTION.doc","~/CMS/Docs/41/General Correspondence/MATONGO DISPENSARY  STAFF HOUSE CONSTRUCTION.doc","Budget for Staff House","General Correspondence"
538,41,"140114 Email exchange re intention to use TDT money for staff house.htm","~/CMS/Docs/41/General Correspondence/140114 Email exchange re intention to use TDT money for staff house.htm","14-01-14 Email exchange re proposal to use TDT money for staff house","General Correspondence"
539,56,"20140114 VSO NV report from C Mnubi.docx","~/CMS/Docs/56/--Please Select--/20140114 VSO NV report from C Mnubi.docx","2014-01-14 Christopher Mnubi report on VSO NV work","Project Report"
540,9,"Re SPA Sunuka solar.txt","~/CMS/Docs/9/Local Rep Report/Re SPA Sunuka solar.txt","email from Evelyn Leonard, Local Rep Received 16th january 2014 confirming report discussion from Ward Officer at Sunuka re installation of Solar by FPA in 2013","Local Rep Report"
542,64,"KCDI profile.doc","~/CMS/Docs/64/Documents supporting Application form/KCDI profile.doc","Profile of NGO","Documents supporting Application form"
543,64,"KCDI email.txt","~/CMS/Docs/64/General Correspondence/KCDI email.txt","Initial Email","General Correspondence"
544,64,"KCDI constitutions.doc","~/CMS/Docs/64/Documents supporting Application form/KCDI constitutions.doc",Constitution,"Documents supporting Application form"
545,64,anthony.zip,"~/CMS/Docs/64/Documents supporting Application form/anthony.zip","CV of Anthony","Documents supporting Application form"
546,64,fidelis.zip,"~/CMS/Docs/64/Documents supporting Application form/fidelis.zip","CV of Fidelis","Documents supporting Application form"
547,64,"frank tanda.zip","~/CMS/Docs/64/Documents supporting Application form/frank tanda.zip","CV of Frank Tanda","Documents supporting Application form"
548,64,"KCDI response.htm","~/CMS/Docs/64/General Correspondence/KCDI response.htm","Response referring them to website","General Correspondence"
549,10,"Kihoa rejection email.htm","~/CMS/Docs/10/General Correspondence/Kihoa rejection email.htm","Rejection email","General Correspondence"
550,15,"Wosoede Rejection email.htm","~/CMS/Docs/15/General Correspondence/Wosoede Rejection email.htm","Rejection email","General Correspondence"
551,17,"HUDERES rejection email.htm","~/CMS/Docs/17/General Correspondence/HUDERES rejection email.htm","Rejection email","General Correspondence"
552,22,"ARCHBISHOP KAHURANANGA rejection.htm","~/CMS/Docs/22/General Correspondence/ARCHBISHOP KAHURANANGA rejection.htm","Rejection email","General Correspondence"
553,23,"LIWODE rejection email.htm","~/CMS/Docs/23/General Correspondence/LIWODE rejection email.htm","Rejection email","General Correspondence"
554,24,"WCDR rejection.htm","~/CMS/Docs/24/General Correspondence/WCDR rejection.htm","Rejection email","General Correspondence"
555,25,"TAMA rejection.htm","~/CMS/Docs/25/General Correspondence/TAMA rejection.htm","Rejection email","General Correspondence"
556,26,"JINAMA rejection email.htm","~/CMS/Docs/26/General Correspondence/JINAMA rejection email.htm","Rejection email","General Correspondence"
557,28,kassanga.htm,"~/CMS/Docs/28/General Correspondence/kassanga.htm","Rejection email","General Correspondence"
558,35,"Your application to Tanzania Development Trust for funding ref W336.htm","~/CMS/Docs/35/General Correspondence/Your application to Tanzania Development Trust for funding ref W336.htm","Rejection email","General Correspondence"
559,46,Tanzblind.htm,"~/CMS/Docs/46/General Correspondence/Tanzblind.htm","Rejection email","General Correspondence"
560,30,"Miswaki email.htm","~/CMS/Docs/30/General Correspondence/Miswaki email.htm","Email correspondence Jan14","General Correspondence"
561,3,"Kasimbu Secondary School Kigoma  Visit Report Oct13.docx","~/CMS/Docs/3/Visit Report/Kasimbu Secondary School Kigoma  Visit Report Oct13.docx","Visit by Dan Cook, David Ackland and Jonathan Pace Oct 13","Visit Report"
562,3,"IMTERIM  REPORT   FOR  PROJECT P 265.doc","~/CMS/Docs/3/Project Report/IMTERIM  REPORT   FOR  PROJECT P 265.doc","Interim Project Report July 2013","Project Report"
563,3,"SIGNED  CONTRACT  FOR  PROJECT  P265 FOR  KASIMBU SECONDARY  SCHOOL.doc","~/CMS/Docs/3/Contract/SIGNED  CONTRACT  FOR  PROJECT  P265 FOR  KASIMBU SECONDARY  SCHOOL.doc","Project Contract",Contract
564,3,"INVOICE FOR BOOKS.pdf","~/CMS/Docs/3/Project Report/INVOICE FOR BOOKS.pdf","Project Contract","Project Report"
565,65,"RE Your projects in Buturi Mara Region.htm","~/CMS/Docs/65/General Correspondence/RE Your projects in Buturi Mara Region.htm","Original email","General Correspondence"
566,66,"Buhaya Group.htm","~/CMS/Docs/66/General Correspondence/Buhaya Group.htm","Original email","General Correspondence"
567,48,"Kawe Red Cross.htm","~/CMS/Docs/48/General Correspondence/Kawe Red Cross.htm","Email acknowledging electronic application form","General Correspondence"
568,48,TDTApplicationFormJan2014.docx,"~/CMS/Docs/48/Application Form/TDTApplicationFormJan2014.docx","Original Application Form","Application Form"
569,48,"KAWE RED CROSS PROPOSAL.docx","~/CMS/Docs/48/Documents supporting Application form/KAWE RED CROSS PROPOSAL.docx","Project Proposal","Documents supporting Application form"
570,48,"Chairman project coordinator and some volunteers 3.jpg","~/CMS/Docs/48/Documents supporting Application form/Chairman project coordinator and some volunteers 3.jpg","Photo of volunteers","Documents supporting Application form"
571,48,"KAWE RED CROSS FARM 2.jpg","~/CMS/Docs/48/Documents supporting Application form/KAWE RED CROSS FARM 2.jpg","Farm photo","Documents supporting Application form"
572,1,"RE New TDT Local Representative and changes at Maganzo.htm","~/CMS/Docs/1/--Please Select--/RE New TDT Local Representative and changes at Maganzo.htm","2014-01-23 Email exchange re new Director","--Please Select--"
573,32,"Project Contract 201314.doc","~/CMS/Docs/32/Contract/Project Contract 201314.doc",NULL,Contract
574,32,"20140123 Email about grant and conditions.htm","~/CMS/Docs/32/General Correspondence/20140123 Email about grant and conditions.htm","2014-01-23 Email about Grant and Conditions","General Correspondence"
575,38,"Kaibanja Secondary School Project Contract 2014.doc","~/CMS/Docs/38/Contract/Kaibanja Secondary School Project Contract 2014.doc","Project Contract 1 signed by JDM",Contract
576,38,"20140123 Email about Grant from TDT and conditions.htm","~/CMS/Docs/38/General Correspondence/20140123 Email about Grant from TDT and conditions.htm","2014-01-23 Email about grant and conditions","General Correspondence"
577,16,"Project Contract 2014.doc","~/CMS/Docs/16/Contract/Project Contract 2014.doc",Contract,Contract
578,16,"Ian Gibson TAFE plaque.docx","~/CMS/Docs/16/General Correspondence/Ian Gibson TAFE plaque.docx","Temporary Ian Gibson plaque","General Correspondence"
579,34,"Ian Gibson Riders plaque.docx","~/CMS/Docs/34/General Correspondence/Ian Gibson Riders plaque.docx","Temporary Ian Gibson plaque","General Correspondence"
580,33,"Ian Gibson Rondo Dispensary plaque.docx","~/CMS/Docs/33/General Correspondence/Ian Gibson Rondo Dispensary plaque.docx","Temporary Ian Gibson plaque","General Correspondence"
581,32,"Ian Gibson Mnara Village plaque.docx","~/CMS/Docs/32/General Correspondence/Ian Gibson Mnara Village plaque.docx","Temporary Ian Gibson plaque","General Correspondence"
582,55,"20140123 Email re Form 2 Results.htm","~/CMS/Docs/55/General Correspondence/20140123 Email re Form 2 Results.htm","2014-01-23 Email re. Form 2 results","General Correspondence"
583,50,"ring at kiboju 007.JPG","~/CMS/Docs/50/General Correspondence/ring at kiboju 007.JPG","Photo of rings awaiting installation","General Correspondence"
584,67,"EBENEZA GRANT APPLICATION FORM FOR TDT 2014.docx","~/CMS/Docs/67/Application Form/EBENEZA GRANT APPLICATION FORM FOR TDT 2014.docx","Application Form","Application Form"
585,67,"BUDGET FOR VOCATIONAL TRAINING.pdf","~/CMS/Docs/67/Documents supporting Application form/BUDGET FOR VOCATIONAL TRAINING.pdf",Budget,"Documents supporting Application form"
586,67,PI.5PC.2014.pdf,"~/CMS/Docs/67/Documents supporting Application form/PI.5PC.2014.pdf","Pro-forma computers","Documents supporting Application form"
587,67,proforma.pdf,"~/CMS/Docs/67/Documents supporting Application form/proforma.pdf","Pro-forma sewing machines","Documents supporting Application form"
588,67,"profoma 2.pdf","~/CMS/Docs/67/Documents supporting Application form/profoma 2.pdf","Pro-forma computers, tables and chairs","Documents supporting Application form"
589,67,"Registration certificate of Ebeneza Group.jpg","~/CMS/Docs/67/Documents supporting Application form/Registration certificate of Ebeneza Group.jpg","Registration certificate","Documents supporting Application form"
590,67,"EBENEZA FINANCIAL REPORT.xls","~/CMS/Docs/67/Project Report/EBENEZA FINANCIAL REPORT.xls","Report from previous project","Project Report"
591,67,"Ebenezer email.htm","~/CMS/Docs/67/General Correspondence/Ebenezer email.htm","Initial email","General Correspondence"
592,68,"SAWATA 1.pdf","~/CMS/Docs/68/Application Form/SAWATA 1.pdf","Application form and supporting docs 1","Application Form"
593,68,"SAWATA 2.pdf","~/CMS/Docs/68/Application Form/SAWATA 2.pdf","Application form and supporting docs 2","Application Form"
594,68,"KASULU MAP.pdf","~/CMS/Docs/68/Documents supporting Application form/KASULU MAP.pdf","Kasulu map","Documents supporting Application form"
595,68,SAWATA.htm,"~/CMS/Docs/68/General Correspondence/SAWATA.htm","Original email exchange 24Jan14","General Correspondence"
596,34,"Riders for Health contract draft.doc","~/CMS/Docs/34/Contract/Riders for Health contract draft.doc",Contract,Contract
597,69,"CFO 2nd email.htm","~/CMS/Docs/69/General Correspondence/CFO 2nd email.htm","Original email exchange","General Correspondence"
599,16,"TAFE 330 PROJECT CONTRACT signed.pdf","~/CMS/Docs/16/Contract/TAFE 330 PROJECT CONTRACT signed.pdf","Project Contract signed by both sides/",Contract
600,70,"CCC draft TDTApplicationFormJan2014.docx","~/CMS/Docs/70/Application Form/CCC draft TDTApplicationFormJan2014.docx","Partially completed application form","Application Form"
601,70,"CCC email.htm","~/CMS/Docs/70/General Correspondence/CCC email.htm","Initial email exchange","General Correspondence"
602,34,"20140128 Thanks message re Riders For Health Protective Clothing.htm","~/CMS/Docs/34/General Correspondence/20140128 Thanks message re Riders For Health Protective Clothing.htm","2014-01-28 Thank you message","General Correspondence"
603,71,"APPLICATION FROM MOTHER AND CHILDREN OF CNTRAL TANZANIA1.doc","~/CMS/Docs/71/Application Form/APPLICATION FROM MOTHER AND CHILDREN OF CNTRAL TANZANIA1.doc","Application Form","Application Form"
604,71,CERTIFICATE.JPG,"~/CMS/Docs/71/Documents supporting Application form/CERTIFICATE.JPG","Registration Certificate","Documents supporting Application form"
605,71,LETTER.JPG,"~/CMS/Docs/71/Documents supporting Application form/LETTER.JPG","Recommendation letter","Documents supporting Application form"
606,71,"MMCT BUDGET FOR TDT1.doc","~/CMS/Docs/71/Documents supporting Application form/MMCT BUDGET FOR TDT1.doc",Budget,"Documents supporting Application form"
607,71,paaaaaa.jpg,"~/CMS/Docs/71/Documents supporting Application form/paaaaaa.jpg","Pro forma invoice","Documents supporting Application form"
608,71,MCCT.htm,"~/CMS/Docs/71/General Correspondence/MCCT.htm","Initial email exchange","General Correspondence"
609,72,TDTApplicationFormJan2014.docx,"~/CMS/Docs/72/Application Form/TDTApplicationFormJan2014.docx","Application form","Application Form"
610,72,"EXM BANK.doc","~/CMS/Docs/72/Documents supporting Application form/EXM BANK.doc","Bank details","Documents supporting Application form"
611,72,"KDC MAP TO TDT.docx","~/CMS/Docs/72/Documents supporting Application form/KDC MAP TO TDT.docx","Kigoma map and background","Documents supporting Application form"
612,72,"PHOTOPROF  Abbakary Haliye.JPG","~/CMS/Docs/72/Documents supporting Application form/PHOTOPROF  Abbakary Haliye.JPG","Photo Bw Haliye","Documents supporting Application form"
613,72,"PHOTOPROF  Jean Lukindo.jpg","~/CMS/Docs/72/Documents supporting Application form/PHOTOPROF  Jean Lukindo.jpg","Photo Jean Lukindo","Documents supporting Application form"
614,72,"Recomendation letter and proformal invoice.doc","~/CMS/Docs/72/Documents supporting Application form/Recomendation letter and proformal invoice.doc","Recommendation letter","Documents supporting Application form"
615,72,"REGISTRATION CERTIFICATE WERUDO.docx","~/CMS/Docs/72/Documents supporting Application form/REGISTRATION CERTIFICATE WERUDO.docx","Registration Certificate","Documents supporting Application form"
616,72,"Request letter to TDT.docx","~/CMS/Docs/72/Documents supporting Application form/Request letter to TDT.docx","Cover Letter","Documents supporting Application form"
617,72,"WERUDO TDT Project Budget 2014  A.xlsx","~/CMS/Docs/72/Documents supporting Application form/WERUDO TDT Project Budget 2014  A.xlsx",Budget,"Documents supporting Application form"
618,72,WERUDO.htm,"~/CMS/Docs/72/General Correspondence/WERUDO.htm","Initial email exchange","General Correspondence"
619,9,"Re Sunuka.htm","~/CMS/Docs/9/Local Rep Report/Re Sunuka.htm","Email from Bibi lucy - NGO Chair and local rep Evelyn confirms discussion with local District Health officials and Ward Officer","Local Rep Report"
622,9,553.JPG,"~/CMS/Docs/9/Visit Report/553.JPG","Solar panels on roof.  Note longer additional ones ( possible REX energy project) ","Visit Report"
623,9,516.JPG,"~/CMS/Docs/9/Visit Report/516.JPG","Battery unit - suitable size to match TDT funded project","Visit Report"
624,9,519.JPG,"~/CMS/Docs/9/Visit Report/519.JPG","Comtrol unit in dispensary","Visit Report"
625,9,547.JPG,"~/CMS/Docs/9/Visit Report/547.JPG","Dispensary at Sunuka","Visit Report"
626,9,"Re SPA Sunuka solar.htm","~/CMS/Docs/9/Local Rep Report/Re SPA Sunuka solar.htm","Email from local rep Evelyn Leonard confirms installation etc.  Photos from Bibi Lucy are in Visit reports  above ","Local Rep Report"
627,73,"The Tanzania Development Trust.doc","~/CMS/Docs/73/Application Form/The Tanzania Development Trust.doc","Small grant Application form ","Application Form"
628,73,"KIEMBE SAMAKI TEACHERS CENTRE.doc","~/CMS/Docs/73/Documents supporting Application form/KIEMBE SAMAKI TEACHERS CENTRE.doc","Letter from supporter / manager","Documents supporting Application form"
629,73,"application for TDT from a VSO volunteer in Education.htm","~/CMS/Docs/73/Documents supporting Application form/application for TDT from a VSO volunteer in Education.htm",emails,"Documents supporting Application form"
630,32,"Signed Contract Project 334.jpg","~/CMS/Docs/32/Contract/Signed Contract Project 334.jpg","Contract signed by both sides",Contract
631,33,"Project 3351 signed contract details.jpg","~/CMS/Docs/33/--Please Select--/Project 3351 signed contract details.jpg","Signed contract details from Linus Jan 2014 after application accepted",Contract
632,33,"Signed and amended contract001.pdf","~/CMS/Docs/33/Contract/Signed and amended contract001.pdf","2014-01-29 Signed and amended contract",Contract
633,16,"TAFE Project Contract DAAT training fund 2014. signed.pdf","~/CMS/Docs/16/Contract/TAFE Project Contract DAAT training fund 2014. signed.pdf","DAAT Project Contract",Contract
634,74,TDTApplicationFormJan2014.doc,"~/CMS/Docs/74/Application Form/TDTApplicationFormJan2014.doc","Application Form","Application Form"
635,74,"BUSHABANI SECONDARY SCHOOL.doc","~/CMS/Docs/74/Documents supporting Application form/BUSHABANI SECONDARY SCHOOL.doc",Photos,"Documents supporting Application form"
636,74,"BUSHABANI SEKONDARY SCHOOL.doc","~/CMS/Docs/74/Documents supporting Application form/BUSHABANI SEKONDARY SCHOOL.doc","Letters of reference and plans","Documents supporting Application form"
637,74,Bushabani.htm,"~/CMS/Docs/74/General Correspondence/Bushabani.htm","Initial email exchange","General Correspondence"
